idx_pdf,n1,n2,n3,n4,n5,pb
0,11,26,27,53,55,12
1,16,20,28,36,52,12
2,5,28,34,37,55,17
3,2,9,25,26,63,8
4,5,8,27,49,57,14
5,1,4,6,34,56,19
6,6,24,39,43,51,2
7,6,20,28,47,48,3
8,5,27,45,56,59,4
9,11,23,24,54,56,5
10,5,19,21,28,64,14
11,10,19,39,47,67,18
12,15,28,57,58,63,23
13,28,41,50,61,68,5
14,4,18,24,51,56,14
15,15,22,39,41,62,9
16,18,21,40,53,60,23
17,28,40,52,53,54,12
18,11,18,21,24,38,26
19,24,35,42,46,68,14
20,11,19,34,48,53,21
21,5,9,38,62,64,4
22,5,20,34,39,62,1
23,13,22,33,61,62,20
24,4,25,31,52,59,19
25,3,15,19,29,35,21
26,3,18,36,41,54,7
27,14,32,47,48,69,17
28,4,5,28,52,69,20
29,5,8,19,23,43,6
30,25,33,53,62,66,17
31,24,43,65,66,68,3
32,23,35,59,63,68,2
33,20,23,38,42,65,19
34,1,28,31,57,58,16
35,7,11,20,52,60,24
36,10,16,29,33,69,22
37,13,15,51,67,68,8
38,8,32,52,56,64,23
39,22,26,54,64,65,1
40,13,14,26,28,44,7
41,4,17,29,55,56,3
42,1,14,20,46,51,26
43,9,31,35,37,58,11
44,5,18,26,47,59,1
45,14,25,38,47,55,19
46,19,22,30,32,59,1
47,16,18,20,23,61,22
48,7,8,15,19,28,3
49,6,19,28,39,53,15
50,8,16,26,30,58,14
51,4,7,48,65,68,24
52,28,32,36,51,69,2
53,5,6,24,44,58,12
54,10,31,49,51,68,19
55,17,19,47,53,61,8
56,7,33,50,57,66,23
57,11,18,23,59,69,5
58,6,7,12,47,53,21
59,8,25,46,51,58,19
60,29,39,43,51,65,23
61,7,31,32,39,65,11
62,6,28,44,48,58,23
63,26,39,43,47,66,19
64,3,53,60,62,68,11
65,16,18,20,54,59,6
66,9,17,29,61,66,26
67,7,10,18,21,61,11
68,3,32,40,43,57,18
69,11,27,55,62,68,2
70,2,26,43,44,62,22
71,7,10,19,42,59,26
72,4,24,49,60,65,1
73,7,12,24,38,67,26
74,17,39,43,51,66,20
75,16,31,60,63,65,17
76,2,12,22,39,67,15
77,3,24,46,58,61,7
78,18,37,52,54,60,12
79,23,37,43,60,64,5
80,32,38,66,67,69,19
81,33,48,52,55,68,9
82,3,11,27,40,58,10
83,2,9,10,14,36,23
84,10,13,28,34,47,15
85,5,20,27,44,51,21
86,13,14,32,52,64,12
87,12,13,46,49,68,7
88,13,16,18,20,27,10
89,12,22,41,46,56,15
90,8,10,44,48,54,14
91,8,13,19,34,53,24
92,28,29,32,66,67,3
93,9,21,37,40,52,5
94,3,7,47,67,68,2
95,5,16,40,44,47,7
96,8,17,22,28,55,14
97,3,29,38,56,65,7
98,1,3,27,60,65,16
99,2,9,12,18,65,26
100,10,16,32,61,66,4
101,5,21,22,49,68,25
102,15,31,45,49,53,19
103,10,21,23,30,56,25
104,3,29,42,46,59,15
105,32,49,50,56,63,19
106,15,29,64,66,67,4
107,2,22,34,57,66,25
108,7,30,50,54,62,20
109,8,19,47,51,58,21
110,14,15,32,42,49,1
111,7,19,42,53,56,4
112,28,37,42,50,53,19
113,3,6,20,34,49,12
114,2,24,45,53,64,5
115,2,12,27,31,60,10
116,26,28,41,53,64,9
117,7,18,19,22,68,13
118,11,23,44,61,62,17
119,21,29,34,41,65,17
120,3,16,29,61,69,22
121,7,32,39,50,61,4
122,8,23,25,40,53,5
123,1,15,26,48,67,19
124,3,18,22,27,33,17
125,7,15,36,42,65,14
126,9,12,22,41,61,25
127,12,19,26,51,62,18
128,16,19,34,37,64,22
129,15,16,23,52,66,25
130,11,14,34,47,51,18
131,9,23,24,33,44,19
132,31,59,62,65,68,5
133,16,17,23,46,52,3
134,15,46,61,63,64,1
135,6,28,38,48,55,23
136,23,40,49,65,69,23
137,31,34,43,44,55,2
138,4,11,40,44,50,4
139,29,33,41,50,54,23
140,6,16,33,40,62,2
141,9,10,17,29,65,5
142,7,14,23,24,60,14
143,5,22,26,29,40,6
144,15,27,43,45,53,9
145,9,19,21,33,46,23
146,8,9,19,31,38,21
147,7,18,41,42,62,3
148,6,18,34,35,36,2
149,10,20,36,58,59,5
150,4,15,35,50,64,8
151,13,32,65,66,68,7
152,7,35,36,43,62,3
153,11,25,40,50,65,21
154,8,31,57,65,67,23
155,11,16,21,29,41,1
156,2,18,19,25,35,25
157,4,21,35,60,69,23
158,8,11,28,33,42,2
159,2,41,56,59,66,6
160,28,48,51,61,69,20
